what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1300921447631
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1300921451057
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921462417
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921488475
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1300921499418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921500241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921519991
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300921537877
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1300921545953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1300921549961
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1300921552472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921561277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921708370
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921709159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921711262
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1300921729202
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1300921740345
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1300921744809
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1300921747395
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1300921747820
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1300921750249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1300921750935
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1300921761350
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1300921798203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300921799670
